gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,1,1,0,0.013888888888888888,1,0,1,0,0,0,0,0,0,0,1,3,0.5194029850746269,0.005960073851834756,1
0,1,1,1,1.0,1,1,0,1,1,1,1,1,1,2,1,1,0.6945273631840796,0.7393087929840757,0
0,0,0,0,0.1111111111111111,1,1,0,1,0,0,1,0,1,0,0,2,0.5263681592039802,0.06287214401107778,1
0,0,1,0,0.8472222222222222,1,1,1,0,1,0,0,1,1,2,1,0,0.8238805970149253,0.6868739903069467,0
1,0,0,0,0.8888888888888888,1,1,1,1,1,0,0,0,0,1,1,1,0.6572139303482587,0.608152550196169,0
1,1,1,0,0.986111111111111,1,1,2,0,0,0,0,0,0,2,0,0,0.056716417910447736,0.20048465266558968,0
0,0,1,1,0.9027777777777777,1,1,1,1,1,0,1,1,0,2,1,1,0.8039800995024875,0.7382760212324024,0
1,0,0,0,0.041666666666666664,1,0,2,0,0,0,0,0,0,1,0,3,0.013432835820895522,0.004909993076390492,0
1,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0,1,2,0.27263681592039796,0.0030983152550196165,1
1,0,0,1,0.41666666666666663,1,0,0,0,1,1,0,1,0,1,0,1,0.46019900497512434,0.22053427186706673,0
1,0,1,1,0.20833333333333331,1,0,0,0,1,1,1,0,1,0,1,3,0.5099502487562189,0.12146318947611356,0
0,0,1,1,0.1111111111111111,1,0,0,0,0,0,1,1,1,0,1,2,0.5004975124378109,0.06295291945534273,0
1,0,0,0,0.09722222222222221,1,1,1,0,0,0,0,1,1,0,0,3,0.763681592039801,0.07347103623355643,1
0,0,1,1,0.9722222222222222,1,1,1,1,1,1,0,1,1,1,1,1,0.8945273631840797,0.9129644588045235,0
1,0,1,1,0.861111111111111,1,0,0,1,1,1,1,1,1,2,0,2,0.6751243781094527,0.5996365105008078,0
0,0,1,1,0.08333333333333333,1,0,2,0,0,0,0,0,0,0,0,3,0.014427860696517386,0.01092776367412878,0
0,0,1,1,0.19444444444444442,1,0,1,0,0,0,0,0,1,0,1,0,0.6233830845771144,0.1308562197092084,0
0,0,0,0,0.3055555555555555,1,1,1,0,0,0,0,1,0,0,1,0,0.6557213930348259,0.208071774751904,0
1,0,1,1,0.3055555555555555,1,0,2,0,0,0,0,0,0,1,0,3,0.018905472636815884,0.0462843295638126,0
1,0,1,1,0.2222222222222222,1,0,0,1,0,1,0,1,0,2,0,3,0.4577114427860697,0.11599353796445881,0
1,0,0,0,0.1388888888888889,1,1,2,0,0,0,0,0,0,2,0,0,0.07412935323383085,0.02686360489268405,0
0,0,0,1,0.18055555555555555,1,0,0,1,1,0,0,0,0,0,1,2,0.3756218905472637,0.08605469651511655,0
0,0,1,0,0.2777777777777778,1,1,1,1,0,0,0,0,0,0,0,2,0.6383084577114428,0.18157742903300253,1
0,0,0,0,0.027777777777777776,1,0,1,0,0,0,0,0,0,0,1,2,0.5119402985074627,0.013431802446342025,0
1,0,0,0,0.736111111111111,1,1,0,0,1,1,1,0,1,2,1,0,0.5537313432835821,0.4545868912993307,0
0,0,1,1,0.15277777777777776,1,0,2,0,0,0,0,0,0,1,0,3,0.023383084577114438,0.024821140087699055,0
1,0,1,0,0.9583333333333333,1,0,2,0,0,0,0,0,0,2,0,3,0.01641791044776117,0.15516385875836605,0
0,0,0,0,0.05555555555555555,1,0,1,0,0,0,0,0,0,0,1,0,0.5238805970149254,0.029333025617355183,1
1,0,1,0,1.0,1,1,0,1,1,1,1,1,1,2,1,0,0.7044776119402985,0.7195534271867067,0
1,1,1,0,0.8055555555555555,0,0,0,0,1,1,0,0,1,0,1,2,0.2691542288557213,0.30376182783291017,1
0,0,1,1,0.2222222222222222,1,0,2,0,0,0,0,0,0,0,0,2,0.021393034825870627,0.03491807062081699,0
1,0,1,0,0.5972222222222222,1,0,1,1,0,1,1,0,0,1,1,0,0.6567164179104478,0.4062370182321717,0
0,0,1,0,0.027777777777777776,1,1,1,0,0,1,1,1,1,0,1,2,0.8572139303482588,0.025848142164781908,1
1,0,1,0,0.19444444444444442,1,0,0,0,1,1,1,1,1,2,0,3,0.6338308457711442,0.13419686129702285,0
0,0,1,0,0.736111111111111,1,0,1,0,0,1,0,1,1,1,1,0,0.7621890547263681,0.574821140087699,1
0,0,0,0,0.4444444444444444,1,0,2,0,0,0,0,0,0,1,0,0,0.02288557213930348,0.07336141241633971,0
0,0,1,0,0.4722222222222222,1,1,2,0,0,0,0,0,0,0,0,2,0.06417910447761191,0.08786060466189707,0
0,1,0,0,0.20833333333333331,1,1,1,0,0,0,0,0,0,0,1,3,0.5592039800995025,0.13003692591737828,1
0,1,0,0,0.09722222222222221,1,0,1,1,0,0,0,0,0,0,0,0,0.5791044776119403,0.05594276482806371,1
0,0,1,1,0.20833333333333331,1,1,1,0,1,1,0,1,1,0,1,0,0.8666666666666666,0.1777579044541888,0
1,0,1,0,0.8472222222222222,1,0,2,0,0,0,0,0,0,1,1,1,0.02288557213930348,0.14230325409646896,0
0,0,0,0,0.013888888888888888,0,0,0,0,1,0,0,0,0,0,0,0,0.11641791044776117,0.0012866374336487421,1
0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0,0,3,0.2691542288557213,0.0030579275328871443,0
1,0,0,0,0.1111111111111111,1,1,1,0,0,0,0,0,1,0,0,0,0.6592039800995024,0.07429609969997693,1
1,0,1,1,0.4583333333333333,1,0,0,1,0,1,0,1,1,1,0,1,0.5621890547263682,0.2809254558042926,0
0,0,0,0,0.18055555555555555,1,0,1,0,1,1,0,0,0,0,1,2,0.6069651741293532,0.1261077775213478,1
0,0,1,0,0.013888888888888888,0,0,0,0,0,0,0,0,0,0,1,2,0.06517412935323383,0.0006923609508423722,1
1,0,0,0,0.2777777777777778,1,0,0,0,1,0,0,0,0,0,1,3,0.3338308457711442,0.11597622894068775,0
1,0,0,0,0.041666666666666664,0,0,0,0,0,0,1,0,0,0,0,2,0.12089552238805967,0.007310177705977384,0
0,0,0,0,0.18055555555555555,1,0,2,0,0,0,0,0,0,1,0,2,0.013930348258706454,0.026078929148396032,0
0,0,1,0,0.5555555555555556,1,1,0,0,1,0,0,0,0,0,0,1,0.381592039800995,0.2723632587122086,0
1,0,1,1,0.5972222222222222,1,1,0,1,0,0,1,0,1,1,1,1,0.5338308457711444,0.36401453957996766,0
1,0,1,0,0.08333333333333333,1,0,1,0,1,1,0,0,1,0,1,2,0.7238805970149254,0.0591045465035772,1
0,0,1,1,0.9583333333333333,1,0,2,0,0,0,0,0,0,2,0,0,0.014925373134328346,0.15654281098546044,0
0,0,1,1,1.0,1,1,1,1,1,1,0,1,1,2,0,1,0.9099502487562189,0.9358989153011771,0
1,0,1,1,0.8194444444444444,1,0,2,0,0,0,0,0,0,2,0,1,0.010447761194029848,0.13546042003231018,0
0,0,1,0,0.2777777777777778,1,0,1,1,1,0,1,1,0,0,1,2,0.7791044776119402,0.21726863604892685,0
1,0,1,1,0.3333333333333333,1,1,2,0,0,0,0,0,0,2,1,0,0.05820895522388059,0.0656127394414955,0
1,0,0,0,0.8194444444444444,1,1,1,0,1,1,1,1,1,0,1,2,0.92636815920398,0.7501673205631203,0
1,0,1,1,1.0,1,1,1,0,1,1,1,1,1,2,1,0,0.9353233830845772,0.925784675744288,0
1,0,0,1,0.013888888888888888,1,0,2,0,0,0,0,0,0,0,0,3,0.02487562189054726,0.00022501730902377065,0
0,0,1,0,0.375,1,0,1,1,0,0,1,1,1,1,1,1,0.8323383084577115,0.3072178629125317,0
0,0,0,0,0.19444444444444442,1,0,1,0,1,0,1,0,0,0,1,1,0.6149253731343283,0.1261827832910224,0
1,0,1,1,0.986111111111111,1,1,1,1,0,1,0,1,1,2,0,2,0.8686567164179103,0.8523771059312255,0
1,0,0,1,0.18055555555555555,1,0,1,0,0,0,0,1,0,0,1,1,0.5975124378109452,0.11714170320793908,0
1,0,0,0,0.611111111111111,1,0,1,0,0,0,0,0,0,0,0,1,0.5034825870646765,0.33927417493653356,0
0,0,0,0,0.4583333333333333,1,0,1,0,1,0,1,0,0,1,1,0,0.6139303482587065,0.30764481883221784,0
1,0,1,1,1.0,0,0,0,1,1,1,1,0,1,2,1,1,0.37014925373134333,0.48008308331410104,0
1,0,0,0,0.013888888888888888,1,0,1,0,0,0,0,0,1,0,0,2,0.6134328358208956,0.007050542349411494,1
0,0,0,0,0.2638888888888889,1,0,1,1,0,1,1,1,1,0,1,2,0.8791044776119402,0.2210535425801985,1
1,0,1,0,0.8888888888888888,1,0,1,0,1,1,1,1,1,1,1,1,0.8378109452736319,0.765670436187399,0
1,0,0,0,0.027777777777777776,1,0,0,0,0,0,0,0,0,0,1,1,0.2761194029850746,0.007581352411723978,1
0,0,0,0,0.013888888888888888,0,0,0,0,0,0,0,0,0,0,0,2,0.06965174129353235,0.00074428802215555,0
1,0,0,1,0.8472222222222222,1,0,2,0,0,0,0,0,0,2,0,3,0.014925373134328346,0.12755596584352644,0
0,0,1,1,0.40277777777777773,1,0,2,0,0,0,0,0,0,1,0,2,0.01741293532338306,0.06014885760443111,0
1,1,1,0,0.3194444444444444,1,1,1,0,0,0,0,0,1,0,0,2,0.682089552238806,0.22583083314101085,0
0,0,1,0,0.7916666666666666,0,0,0,1,1,1,0,1,1,0,1,0,0.4029850746268656,0.39448996076621273,0
1,0,1,1,1.0,0,0,0,1,1,1,1,0,0,2,0,1,0.26865671641791045,0.3601430879298408,0
1,0,1,0,0.9166666666666666,0,0,0,1,1,1,1,1,0,2,1,0,0.381592039800995,0.43507962150934687,0
1,0,1,1,0.9027777777777777,1,1,0,0,1,1,1,1,1,2,1,0,0.6562189054726368,0.6122432494807293,0
0,0,0,0,0.1111111111111111,1,0,1,0,0,0,0,1,0,0,1,0,0.6144278606965173,0.06990537733671821,0
0,0,0,0,0.05555555555555555,1,0,1,0,0,0,0,0,0,0,1,2,0.5164179104477612,0.028796445880452347,1
0,0,1,0,0.986111111111111,1,1,2,0,0,0,0,0,0,2,0,0,0.06467661691542287,0.2097969074544196,0
1,0,1,1,0.013888888888888888,1,0,2,0,0,0,0,0,0,1,1,2,0.019402985074626844,0.0001615508885298867,0
1,0,1,0,0.05555555555555555,1,0,0,0,0,0,1,0,0,0,0,3,0.31641791044776113,0.018526425109623816,1
0,0,0,0,0.16666666666666666,1,0,2,0,0,0,0,0,0,1,1,0,0.010945273631840807,0.0231421647819063,0
1,0,0,0,0.3333333333333333,0,0,0,1,0,0,0,1,1,1,1,3,0.3218905472636816,0.1465439649203785,0
0,0,1,1,0.4305555555555555,1,0,0,1,0,1,1,1,1,1,1,3,0.6258706467661692,0.29159358412185554,0
